id,question
1,"""请问你们家的商品支持7天无理由退换货吗？"",
""需要自己承担运费吗？"""
2,"""我想咨询一下，你们的售后维修服务范围是什么？"",
""如果是人为损坏的，能维修吗？维修费用怎么算？"""
3,"""请问你们的商品能开发票吗？发票类型是什么？"",
""多久能收到呢？"""
4,"""我收到商品后，发现包装破损了，怎么办？"",
""影响商品退换货吗？"""
6,"""我想了解一下你们的退款政策，退款多久能到账？"",
""信用卡会原路返回吗？"""
7,"""我收到的商品和图片不一样，颜色偏差很大，我要投诉！"""
8,"""你们的商品存在虚假宣传，宣传的功能和实际不一样，我要投诉！"""
9,"""我收到的商品少了一件，联系客服说会补发，但是过了一周还没补发！"""
10,"""你们的售后维修服务太差了，我送修的商品，过了半个月还没修好！"""
11,"""你们的商品保质期有问题，我收到的商品还有1个月就过期了！"""
12,"""你们的快递员态度特别差，送货时还辱骂我，我要投诉！"""
13,"""你们的商品存在质量问题，我使用了一次就坏了，联系客服没人管！"""
14,"""我收到的商品被拆封过，里面还有污渍，明显是二手商品，我要投诉！"""
15,"""你们的商品宣传是正品，但是我收到后验证是假货，我要投诉！"""
16,"""我收到商品后，发现商品有轻微划痕，不影响使用，能申请换货吗？"""
17,"""我想换货，但是原来的商品包装盒丢了，还能换吗？"",
""需要我额外支付包装费吗？"""
18,"""我想退货，但是已经超过7天无理由退换货期限了，还能退吗？"""
19,"""请问你们的商品能提供纸质版说明书吗？"",
""电子版在哪里可以找到？"""
20,"""请问你们家的商品能寄到国外吗？"",
""运费怎么算？大概需要多久能到？"""
21,"""我购买的商品，想开发票抬头为公司，需要注意什么？"",
""抬头写错了，能重新开具吗？"""
22,"""我收到商品后，发现商品有瑕疵，但是已经使用过了，能售后吗？"",
""换货还是只能维修？"""
23,"""我想取消订单，但是订单已经付款了，能全额退款吗？"""
24,"""请问你们的商品有售后保障卡吗？"",
""卡丢了，还能享受售后服务吗？"""
25,"""请问你们家支持以旧换新服务吗？"""
26,"""请问你们的智能客服能解答哪些问题？"",
""智能客服解答不了的问题，怎么办？"""
33,"""家支持7天无理由退货吗？"",
""需要满足什么条件？"""
34,"""我购买的商品，收到后发现少发了一件，怎么办？"",
""什么时候能补寄？需要我承担运费吗？"""
35,"""想换成其他款式，能换货吗？"""
36,"""请问商品的生产日期是什么时候？"""
37,"""请问你们的商品能提供上门安装服务吗？"""
38,"""请问你们的商品能提供试用装吗？"""
