id,status,question,best_ret,reason,required_terms,forbidden_terms,min_pic_count,language
1,locked,"""请问你们家的商品支持7天无理由退换货吗？"",
""需要自己承担运费吗？""",您好，可以申请退款/退货，但需要先看订单是否已发货、商品是否影响二次销售以及是否符合售后规则。如果还未发货，通常可优先申请取消订单；如果已签收，请保留商品、配件、包装和购买凭证。7天无理由通常要求商品不影响二次销售、配件和包装齐全；非质量原因退换货一般由买家承担寄回运费，如果是质量问题、错发漏发或运输破损，则按售后规则由商家承担相应处理成本。退款一般会按原支付渠道退回。,local_systematic_v66,,,0,zh
2,locked,"""我想咨询一下，你们的售后维修服务范围是什么？"",
""如果是人为损坏的，能维修吗？维修费用怎么算？""",您好，售后维修通常覆盖商品本身质量问题、正常使用中出现的故障检测、维修或配件更换。如果是人为损坏、进水、摔碰、私自拆修或超过保修范围，一般也可以申请检测维修，但可能需要收费。费用会根据检测结果、配件和人工成本确认，维修前应先告知报价并征得您确认。请提供订单号、故障照片或视频和购买凭证。,local_systematic_v66,,,0,zh
3,locked,"""请问你们的商品能开发票吗？发票类型是什么？"",
""多久能收到呢？""",您好，商品一般可以申请开具电子发票，常见类型为个人或企业抬头的普通发票；是否支持专票以订单开票规则为准。请提供订单号、发票抬头、税号以及接收邮箱或收票信息；公司抬头请确认公司名称和税号填写准确。提交后通常会在1-3个工作日内开具或发送。若抬头写错，请尽快联系客服，核实原发票状态后可协助作废重开或重新开具。,local_systematic_v66,,,0,zh
4,locked,"""我收到商品后，发现包装破损了，怎么办？"",
""影响商品退换货吗？""",您好，即使已经签收，发现外包装破损或商品损坏也可以联系售后核实处理。请尽量保留外包装、快递面单、破损位置照片/视频和开箱记录；客服会结合物流签收情况和商品状态判断责任，如果确认属于运输或发货问题，会协助您申请退换货、补发、维修或赔付。,local_systematic_v66,,,0,zh
6,locked,"""我想了解一下你们的退款政策，退款多久能到账？"",
""信用卡会原路返回吗？""",您好，可以申请退款/退货，但需要先看订单是否已发货、商品是否影响二次销售以及是否符合售后规则。如果还未发货，通常可优先申请取消订单；如果已签收，请保留商品、配件、包装和购买凭证。7天无理由通常要求商品不影响二次销售、配件和包装齐全；非质量原因退换货一般由买家承担寄回运费，如果是质量问题、错发漏发或运输破损，则按售后规则由商家承担相应处理成本。退款一般会按原支付渠道退回。,local_systematic_v66,,,0,zh
7,locked,"""我收到的商品和图片不一样，颜色偏差很大，我要投诉！""",您好，非常抱歉让您收到与页面图片不一致的商品。请保留商品实拍图、外包装、订单号和商品页面截图；客服核实后，如果确认颜色或实物与页面展示存在明显偏差，可按售后规则协助您申请退货退款、换货或补偿。如果您要投诉，也可以一并说明问题经过，客服会升级记录并跟进处理结果。,local_systematic_v66,,,0,zh
8,locked,"""你们的商品存在虚假宣传，宣传的功能和实际不一样，我要投诉！""",您好，非常抱歉给您带来困扰。如果商品宣传功能与实际使用不一致，请先保留商品页面截图、实际问题照片或视频、订单号和沟通记录。客服核实后，如果确认存在描述不符或功能不符，会按售后规则协助您申请退货退款、换货或补偿，并会将投诉问题升级反馈。,local_systematic_v66,,,0,zh
9,locked,"""我收到的商品少了一件，联系客服说会补发，但是过了一周还没补发！""",您好，如果收到商品后发现少件、缺件或承诺补发后一直未发出，请先保留外包装、快递面单、装箱清单和开箱照片/视频。请把订单号、缺少的配件名称和凭证发给客服；核实少发后会安排补发，通常不需要您承担补寄运费。如果已经超过承诺时间仍未补发，可以要求客服升级催办并反馈新的补发时间。,local_systematic_v66,,,0,zh
10,locked,"""你们的售后维修服务太差了，我送修的商品，过了半个月还没修好！""",您好，售后维修通常覆盖商品本身质量问题、正常使用中出现的故障检测、维修或配件更换。如果是人为损坏、进水、摔碰、私自拆修或超过保修范围，一般也可以申请检测维修，但可能需要收费。费用会根据检测结果、配件和人工成本确认，维修前应先告知报价并征得您确认。请提供订单号、故障照片或视频和购买凭证。,local_systematic_v66,,,0,zh
11,locked,"""你们的商品保质期有问题，我收到的商品还有1个月就过期了！""",您好，如果收到的商品存在临期、过期或保质期明显不符合页面说明的情况，请先不要继续使用，并保留商品包装、生产日期/保质期标签、订单信息和照片。客服核实后会按售后规则处理，可根据实际情况协助退货退款、换货或补偿。,local_systematic_v66,,,0,zh
12,locked,"""你们的快递员态度特别差，送货时还辱骂我，我要投诉！""",您好，非常抱歉遇到这样的配送体验。请提供订单号、配送时间、快递公司、快递员信息或通话/聊天记录等凭证。客服会协助向物流方发起投诉并跟进处理结果；如果配送问题同时造成商品损坏、延误或丢失，也会结合订单情况继续处理售后或赔付。,local_systematic_v66,,,0,zh
